avg_chinext,avg_main,avg_star,avg_turnover,cum_csi800,cum_excess_csi800,cum_ret,drop_top1_excess,drop_top3_excess,family_tag,max_drawdown,mean_monthly_excess,months,portfolio_profile,rank_ic_alla_ir,rank_ic_alla_mean,rank_ic_csi800_ir,rank_ic_csi800_mean,score_col,strategy_name,win_rate,overlap_with_baseline_top10
4.125,2.3125,3.5625,0.72,0.3916486099859966,1.0065182126675434,1.6825803365397833,0.6443434017973424,0.23952604545719902,baseline,-0.1345241383009259,0.04756163933780044,16,top10,2.3483162457166373,0.05886047474680664,2.3483162457166373,0.05886047474680664,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla,0.75,1.0
5.8999999999999995,3.3625000000000007,4.6125,0.7911111111111111,0.3916486099859966,0.9865884733653534,1.659064414988534,0.618944596378747,0.2625763908783889,sleeve_portfolio,-0.09276216974418772,0.04634183995658532,16,sleeve,,,,,sleeve_weighted_components,sleeve_60_base_top10_40_v3blend_top20,0.75,0.31875
4.0625,2.875,3.0,0.7733333333333333,0.3916486099859966,0.9515083937840232,1.6111306727574481,0.6528534772475909,0.22251078660064527,baseline,-0.11120206601045934,0.045725925170700066,16,industry_top10,2.3483162457166373,0.05886047474680664,2.3483162457166373,0.05886047474680664,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla,0.625,0.69375
8.5625,4.9375,6.1875,0.7366666666666667,0.3916486099859966,0.9450304147494772,1.6084717168660796,0.5719461791733367,0.24129938162314524,blend,-0.03902579843997955,0.04451214088476263,16,top20,1.631534945110253,0.06100118598519806,1.631534945110253,0.06100118598519806,v3_lgb_blend_score,v3_lgb_blend,0.75,0.34062499999999996
8.0,5.59375,6.1875,0.7783333333333332,0.3916486099859966,0.9447540996407227,1.6094005095324437,0.6101432794345718,0.26292060215337876,sleeve_portfolio,-0.05681843799310626,0.04432476880174363,16,sleeve,,,,,sleeve_weighted_components,sleeve_50_base_top20_50_v3blend_top20,0.8125,0.2390625
7.4375,6.25,6.1875,0.6966666666666669,0.3916486099859966,0.9397126680861625,1.604262332639434,0.6462105155461908,0.2826944445020543,baseline,-0.08506597980105779,0.04413739671872463,16,top20,2.3483162457166373,0.05886047474680664,2.3483162457166373,0.05886047474680664,baseline_lgb_score,raw_v22a_lgb_alpha_vs_alla,0.75,0.5
3.8750000000000004,3.0875,2.9625000000000004,0.7666666666666668,0.3916486099859966,0.9095578891104421,1.5730654411760696,0.6539291295034695,0.27574862953088286,sleeve_portfolio,-0.09479062858434706,0.0431544191436842,16,sleeve,,,,,sleeve_weighted_components,sleeve_60_base_top10_40_group_industry_top10,0.75,0.484375
4.6875,1.75,3.3125,0.78,0.3916486099859966,0.8296188680107008,1.4774926345215937,0.5369362497583237,0.26303972099985584,blend,-0.02571939304471016,0.03994713435531594,16,top10,1.631534945110253,0.06100118598519806,1.631534945110253,0.06100118598519806,v3_lgb_blend_score,v3_lgb_blend,0.6875,0.5125
3.6875,2.9375,3.3125,0.7533333333333333,0.3916486099859966,0.8062944285174829,1.4216139318255725,0.4187623673437266,0.12105314861228544,hybrid_light,-0.0796417478114424,0.040343086369830417,16,top10,1.2972782614987646,0.030002071806064543,1.2972782614987646,0.030002071806064543,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,0.625,0.4875
7.1875,7.3125,5.4375,0.7233333333333334,0.3916486099859966,0.7946702878310703,1.4135774287001937,0.5252793872030093,0.22962829659764705,hybrid_light,-0.08391820910794612,0.03870258502865909,16,top20,1.2972782614987646,0.030002071806064543,1.2972782614987646,0.030002071806064543,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,0.8125,0.375
3.5,4.25,2.0625,0.7333333333333335,0.3916486099859966,0.7470779675233481,1.38500682181918,0.5323949365159102,0.2794255223423183,factor_group_recall,-0.039781227707862854,0.036543588852509856,16,industry_top10,2.5846863597811587,0.05908655501214513,2.5846863597811587,0.05908655501214513,factor_group_recall_lgb_score,factor_group_recall_lgb,0.8125,0.375
3.725,3.3125,2.9124999999999996,0.7766666666666666,0.3916486099859966,0.7366991365909792,1.3388083900540302,0.4733783270207401,0.1881716202559589,sleeve_portfolio,-0.09962175894361813,0.036882375411369135,16,sleeve,,,,,sleeve_weighted_components,sleeve_60_base_top10_40_rerank_alla_top10,0.75,0.46875
3.8125,3.6875,2.375,0.7400000000000002,0.3916486099859966,0.6416266786602349,1.2385450552567785,0.43629902459587133,0.16296701921129864,factor_group_recall,-0.061688799411058426,0.032777551969047636,16,top10,2.5846863597811587,0.05908655501214513,2.5846863597811587,0.05908655501214513,factor_group_recall_lgb_score,factor_group_recall_lgb,0.75,0.44375
4.875,2.25,2.625,0.8000000000000002,0.3916486099859966,0.6390850899633056,1.2304496600646595,0.42092063981193606,0.20041801113699842,blend,-0.038778082384991586,0.0328831972219632,16,industry_top10,1.631534945110253,0.06100118598519806,1.631534945110253,0.06100118598519806,v3_lgb_blend_score,v3_lgb_blend,0.5625,0.4125
7.125,8.0625,4.625,0.7233333333333334,0.3916486099859966,0.6225313418416356,1.2041482994585033,0.4606056535211973,0.23402376699588245,factor_group_recall,-0.07304351417357169,0.031627124903025106,16,top20,2.5846863597811587,0.05908655501214513,2.5846863597811587,0.05908655501214513,factor_group_recall_lgb_score,factor_group_recall_lgb,0.75,0.3375
5.375,11.0625,3.4375,0.7599999999999999,0.3916486099859966,0.6187590060649097,1.2006413630279393,0.4344447985318447,0.23256832424294016,recall_rerank,-0.07587514072656631,0.03135403665510239,16,top20,1.8617994263730206,0.03360976039273274,1.8617994263730206,0.03360976039273274,recall_rerank_alla_score,recall_rerank_lgb_alpha_vs_alla,0.75,0.184375
3.5000000000000004,7.3875,3.1124999999999994,0.7577777777777777,0.3916486099859966,0.576288295038599,1.1384995112931526,0.3766445433990284,0.16579797315573885,sleeve_portfolio,-0.09542953132698684,0.03010771810950246,16,sleeve,,,,,sleeve_weighted_components,sleeve_60_base_top10_40_rankind_csi_top20,0.75,0.30833333333333335
5.625,10.875,3.375,0.7633333333333333,0.3916486099859966,0.5214534232067287,1.0721254111348633,0.35389185370208165,0.18884932067345872,recall_rerank,-0.08096414804458618,0.027326408016961068,16,top20,1.905710863002539,0.03305346729903648,1.905710863002539,0.03305346729903648,recall_rerank_csi800_score,recall_rerank_lgb_alpha_vs_csi800,0.75,0.19374999999999998
3.1875,5.375,1.3125,0.7933333333333333,0.3916486099859966,0.4775194755686121,1.0058731214538335,0.2960150478556136,0.09131399725602152,recall_rerank,-0.09103589504957199,0.025689518079161644,16,industry_top10,1.8617994263730206,0.03360976039273274,1.8617994263730206,0.03360976039273274,recall_rerank_alla_score,recall_rerank_lgb_alpha_vs_alla,0.75,0.2
3.25,5.375,1.0625,0.8866666666666667,0.3916486099859966,0.47689896314884916,1.0114725266798907,0.2565046214118303,0.08491804963909799,manual_v3,-0.04764588862573871,0.025935099267371697,16,industry_top10,0.8712611778849301,0.04996054344373631,0.8712611778849301,0.04996054344373631,manual_rule_score,manual_v3,0.5625,0.09375
3.0625,4.9375,1.875,0.8133333333333336,0.3916486099859966,0.4711995965587188,1.0025256872788875,0.3307499201266455,0.14093655540972838,recall_rerank,-0.08703897148370743,0.025175205099003506,16,top10,1.905710863002539,0.03305346729903648,1.905710863002539,0.03305346729903648,recall_rerank_csi800_score,recall_rerank_lgb_alpha_vs_csi800,0.75,0.19375
3.75,3.6875,2.5,0.7933333333333333,0.3916486099859966,0.4653208727687146,0.992798733049088,0.27915674697292947,0.007489542326224452,hybrid_light,-0.0663052761874321,0.0256995537365583,16,industry_top10,1.2972782614987646,0.030002071806064543,1.2972782614987646,0.030002071806064543,hybrid_light_lgb_score,hybrid_light_lgb_alpha_vs_csi800,0.625,0.4375
3.1875,5.4375,1.25,0.8133333333333336,0.3916486099859966,0.410046053347229,0.9185712984580203,0.23683033186696334,0.0726005826763263,recall_rerank,-0.09269500523805618,0.022614236826484557,16,industry_top10,1.905710863002539,0.03305346729903648,1.905710863002539,0.03305346729903648,recall_rerank_csi800_score,recall_rerank_lgb_alpha_vs_csi800,0.6875,0.16875
3.125,4.8125,1.9375,0.8066666666666666,0.3916486099859966,0.37166523820543595,0.8689671009956141,0.22863358321098493,0.057356474492221476,recall_rerank,-0.08703897148370743,0.020863479521722184,16,top10,1.8617994263730206,0.03360976039273274,1.8617994263730206,0.03360976039273274,recall_rerank_alla_score,recall_rerank_lgb_alpha_vs_alla,0.6875,0.21875
3.4375,5.25,1.0,0.8600000000000001,0.3916486099859966,0.28437528589683647,0.7649035578354397,0.17120290119777937,0.04977451224808149,manual_v3,-0.07435008285391698,0.016529441869352013,16,top10,0.8712611778849301,0.04996054344373631,0.8712611778849301,0.04996054344373631,manual_rule_score,manual_v3,0.625,0.07500000000000001
5.75,10.9375,2.9375,0.8466666666666668,0.3916486099859966,0.22418822135992778,0.6885596790223814,0.12381865659790892,0.03970690157841128,manual_v3,-0.05718902498483658,0.01330928780225804,16,top20,0.8712611778849301,0.04996054344373631,0.8712611778849301,0.04996054344373631,manual_rule_score,manual_v3,0.8125,0.084375
1.3125,7.5625,1.125,0.7733333333333334,0.3916486099859966,0.08986404083191157,0.5190060558068446,0.033056399228499345,-0.053703151048341335,rank_industry,-0.04824699833989132,0.005853599504916929,16,industry_top10,0.961178577111419,0.013268131449199135,0.961178577111419,0.013268131449199135,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,0.5,0.06875
1.3125,7.5,1.1875,0.7733333333333334,0.3916486099859966,0.089794427887254,0.5186730194799218,0.02946610973403252,-0.0577144510750498,rank_industry,-0.048246998339891434,0.005874801528989337,16,top10,0.961178577111419,0.013268131449199135,0.961178577111419,0.013268131449199135,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,0.5,0.06875
2.5625,15.0,2.4375,0.7200000000000001,0.3916486099859966,0.06098052479757299,0.4771824149606869,0.017013238204900194,-0.044161321524584185,rank_industry,-0.04725453257560741,0.003926836267055478,16,top20,0.961178577111419,0.013268131449199135,0.961178577111419,0.013268131449199135,rank_industry_csi800_score,rank_industry_lgb_alpha_vs_csi800,0.5625,0.0625
1.3125,7.625,1.0625,0.74,0.3916486099859966,0.05461487839994983,0.4599628694391955,-0.05027696410018312,-0.10808597258622676,rank_industry,-0.07351628742645278,0.0040358400729019195,16,top10,0.9768067670787193,0.015457683187828733,0.9768067670787193,0.015457683187828733,rank_industry_alla_score,rank_industry_lgb_alpha_vs_alla,0.5625,0.0625
1.3125,7.625,1.0625,0.74,0.3916486099859966,0.05461487839994983,0.4599628694391955,-0.05027696410018312,-0.10808597258622676,rank_industry,-0.07351628742645278,0.0040358400729019195,16,industry_top10,0.9768067670787193,0.015457683187828733,0.9768067670787193,0.015457683187828733,rank_industry_alla_score,rank_industry_lgb_alpha_vs_alla,0.5625,0.0625
2.375,15.5,2.0625,0.7233333333333333,0.3916486099859966,-0.007701030983122803,0.382689146449104,-0.06373242159668047,-0.11717841197375589,rank_industry,-0.04707101732492447,-0.00018991020624525845,16,top20,0.9768067670787193,0.015457683187828733,0.9768067670787193,0.015457683187828733,rank_industry_alla_score,rank_industry_lgb_alpha_vs_alla,0.4375,0.053125000000000006
